artist_id,artist_name,total_plays,num_listeners,play_ratio,track_freq,top_listeners,genres,tag
AR02YGA1187B9B8AC4,Bersuit Vergarabat,3627,1269,2.858156028,"{'TRACFXL128F930B28B': 3020, 'TRADFOQ128F9335409': 129, 'TRAGMXK128F9305A50': 392, 'TRAMIGP128F9335408': 86}","{'8ccdf9ff4c0ce970e843c49ebf134942ebb74196': 34, 'top_k_ratio': 0.009374138406396471}","['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",rock
AR035N21187FB3938E,BT,1391,63,22.07936508,"{'TRAHXMC128F4267B70': 147, 'TRAKXNZ128F931DC2B': 66, 'TRALOBE12903CDA6C5': 1141, 'TRAVJOO128F14AD39C': 33, 'TRBCRKF128F14AD398': 4}","{'8e0dd300ccb1c2d8c64d1b389102e9a7fc4c034c': 234, 'top_k_ratio': 0.16822429906542055}","['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",electronic
AR03BDP1187FB5B324,Britney Spears,9419,86,109.5232558,"{'TRACYCJ128F9309246': 153, 'TRAEBXS128F429933A': 49, 'TRBALRR128F429625D': 5139, 'TRBAUVN128F932FEF8': 4078}","{'68c98485da1b49b89377f0135590a203bf3a1ae3': 130, 'top_k_ratio': 0.013801889797218388}","['dance pop', 'pop', 'pop rap', 'post-teen pop']",pop
AR040QX1187FB4CFE1,Alexisonfire,1528,474,3.223628692,"{'TRAPGKY128F42972A9': 1144, 'TRAVHCL128F93015C4': 384}","{'bf0503aad11e3ba0b8fd5a224b1b3cc9be0ccdfa': 46, 'top_k_ratio': 0.030104712041884817}","['canadian post-hardcore', 'canadian rock', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo']",metal
AR048JZ1187B9AEB85,Yellowcard,2872,1136,2.528169014,{'TRAUWFN128F1462E09': 2872},"{'6be2ac4fa0478867e2827870fc925f623c2fb261': 101, 'top_k_ratio': 0.03516713091922006}","['bow pop', 'emo', 'pop punk', 'pop rock', 'socal pop punk']",pop
AR050VJ1187B9B13A7,Dead Kennedys,1142,308,3.707792208,"{'TRALBOZ128F4251490': 471, 'TRARREF128F422FD96': 671}","{'2cba718038f3c00f7b1efc375289a9418cb025b5': 27, 'top_k_ratio': 0.023642732049036778}","['early us punk', 'hardcore punk', 'punk', 'skate punk']",punk
AR0KBXO1187B996460,Slipknot,1469,822,1.787104623,"{'TRAPUDN128F423B45C': 1457, 'TRBHIPU12903CC380E': 12}","{'0b14428c20e13dbf2544f2c9fd08d452360651ea': 29, 'top_k_ratio': 0.019741320626276378}","['alternative metal', 'double drumming', 'nu metal', 'rap metal']",metal
AR0OQPL1187B9B549A,Kirk Franklin with tobyMac & Sonny (of P.O.D.),1482,609,2.433497537,"{'TRAVYNN128F425EBBC': 1356, 'TRAYCVB128F92EB7B0': 126}","{'459481197c6e2c19e936bd35cf9b26f11429ad91': 36, 'top_k_ratio': 0.024291497975708502}","['gospel', 'gospel r&b']",gospel
AR0S7TA1187FB4D024,Christina Aguilera,10510,1979,5.310763012,"{'TRABKUJ128F4292445': 10240, 'TRACKAP128F425B741': 195, 'TRBCIRO128F42B0277': 38, 'TRBEAMO128F425B75F': 37}","{'448dd7c9a217508f57963f72265705a883fdd5b0': 138, 'top_k_ratio': 0.01313035204567079}","['dance pop', 'pop', 'pop rap', 'post-teen pop']",pop
AR0V36F1187FB366B1,The Chieftains,1433,403,3.555831266,{'TRAHFSC128F92EACAB': 1433},"{'54e74dfe015db53f85fe5b8334c4960cdf8d1a87': 30, 'top_k_ratio': 0.0209351011863224}","['celtic', 'irish folk']",folk
