track_id,tempo,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,liveness
TRAAABD128F429CF47,121.361,4.0,0.748,0.693,9.0,-7.507,0.0302,0.2,1.92e-05,0.969,0.093
TRAAADZ128F9348C2E,102.463,4.0,0.699,0.519,8.0,-6.422,0.029,0.689,0.000471,0.676,0.935
TRAAAEF128F4273421,119.391,4.0,0.602,0.843,0.0,-9.119,0.0426,0.575,0.000268,0.819,0.206
TRAAAFD128F92F423A,129.702,4.0,0.527,0.91,2.0,-4.513,0.0582,0.00033,0.657,0.642,0.0947
TRAAAMO128F1481E7F,147.565,4.0,0.456,0.472,5.0,-8.328,0.0325,0.706,4.93e-06,0.286,0.0833
TRAAAMQ128F1460CD3,83.834,4.0,0.683,0.173,1.0,-16.056,0.895,0.799,0.0,0.696,0.23
TRAAAVO128F93133D4,146.609,4.0,0.458,0.57,5.0,-9.159,0.0495,5.54e-05,0.000768,0.203,0.0988
TRAABCL128F4286650,118.009,4.0,0.746,0.736,0.0,-8.014,0.0365,0.0289,0.0,0.761,0.329
TRAABDL12903CAABBA,130.004,4.0,0.88,0.712,9.0,-5.851,0.0347,0.726,0.0,0.963,0.101
TRAABJL12903CDCF1A,137.374,4.0,0.703,0.563,6.0,-7.251,0.0307,0.344,7.1e-05,0.883,0.36
TRAABLR128F423B7E3,119.336,4.0,0.513,0.571,7.0,-8.648,0.0322,0.486,0.154,0.628,0.879
TRAABNV128F425CEE1,95.807,4.0,0.647,0.411,8.0,-16.578,0.0415,0.114,0.509,0.64,0.0428
TRAABXG128F9318EBD,138.339,4.0,0.583,0.589,0.0,-6.856,0.0298,0.621,0.89,0.277,0.139
TRAABYN12903CFD305,171.682,3.0,0.371,0.158,1.0,-13.305,0.0371,0.869,0.0,0.565,0.202
TRAACCG128F92E8A55,142.016,4.0,0.537,0.367,2.0,-6.547,0.0336,0.664,0.0455,0.347,0.0738
TRAACER128F4290F96,166.906,4.0,0.413,0.992,9.0,-3.923,0.375,0.0093,0.000562,0.29,0.232
TRAACIW12903CC0F6D,124.996,4.0,0.712,0.888,1.0,-6.989,0.0392,2.77e-05,0.836,0.639,0.0539
TRAACLV128F427E123,135.019,4.0,0.624,0.88,5.0,-3.152,0.0476,0.566,0.0,0.709,0.327
TRAACPE128F421C1B9,114.094,4.0,0.359,0.291,6.0,-11.244,0.0313,0.814,0.0,0.193,0.104
TRAACQT128F9331780,137.978,4.0,0.499,0.566,4.0,-15.365,0.0327,2.34e-05,0.233,0.588,0.106
TRAACSL128F93462F4,129.613,4.0,0.56,0.943,5.0,-7.544,0.0686,0.708,0.0,0.641,0.644
TRAACZK128F4243829,116.223,4.0,0.551,0.718,9.0,-9.267,0.0392,0.093,0.000319,0.828,0.0511
TRAADED128F42741FD,137.614,4.0,0.436,0.412,2.0,-10.886,0.049,0.162,0.0,0.32,0.972
TRAADEV128F9348C0A,60.34,4.0,0.317,0.197,3.0,-16.022,0.036,0.849,0.558,0.125,0.123
TRAADHS12903CE70A9,90.0,4.0,0.532,0.174,6.0,-19.861,0.0382,0.797,0.841,0.628,0.108
TRAADIV12903CB15C1,95.178,4.0,0.213,0.867,7.0,-6.987,0.0848,6.49e-06,0.678,0.247,0.181
TRAADLH12903CA70EE,115.822,4.0,0.459,0.999,2.0,-2.257,0.155,0.00173,0.0,0.15,0.282
TRAADLR12903CF8D7E,117.551,4.0,0.763,0.496,0.0,-11.214,0.0421,0.607,0.0,0.962,0.102
TRAADLX128F1469250,102.748,4.0,0.503,0.182,3.0,-14.824,0.0302,0.807,3.8e-05,0.293,0.0923
TRAADMH128F9343E59,90.0,4.0,0.751,0.7,7.0,-7.016,0.0291,0.019,0.14,0.756,0.195
TRAADOF12903CAA1C1,123.168,4.0,0.604,0.638,0.0,-9.458,0.0374,0.285,0.00127,0.913,0.29
TRAADQX128F422B4CF,141.962,4.0,0.809,0.432,0.0,-10.871,0.0969,0.00156,0.685,0.867,0.0678
TRAADRN128F932D607,95.248,4.0,0.428,0.898,6.0,-7.608,0.226,0.0224,0.0787,0.141,0.511
TRAADYB128F92D7E73,128.705,4.0,0.605,0.493,7.0,-11.455,0.0289,0.837,0.039,0.683,0.0807
TRAAEAM128F934B199,133.842,4.0,0.32,0.815,11.0,-10.8,0.0446,0.586,0.000447,0.448,0.515
TRAAEDJ12903CCE390,103.742,4.0,0.45,0.33,2.0,-13.577,0.0385,0.944,0.861,0.84,0.106
TRAAELO128F9302DD1,102.217,4.0,0.842,0.899,8.0,-5.672,0.162,0.684,0.0389,0.583,0.173
TRAAEMJ128F425A917,140.145,4.0,0.586,0.609,0.0,-5.129,0.0349,0.125,0.000885,0.192,0.243
TRAAEOU128F9309DE0,105.971,4.0,0.226,0.159,7.0,-19.81,0.034,0.748,0.967,0.285,0.142
TRAAERU128F930674F,107.988,4.0,0.794,0.753,11.0,-8.927,0.0799,0.147,0.0,0.689,0.0666
TRAAEWG128F930B3A4,116.818,4.0,0.645,0.704,0.0,-5.437,0.0309,0.0592,0.0,0.475,0.17
TRAAEXM128F92D47C8,101.995,4.0,0.664,0.59,0.0,-18.833,0.05,0.0595,0.143,0.938,0.212
TRAAFEB128F92F8694,127.996,4.0,0.606,0.887,3.0,-6.512,0.0291,0.000123,0.000908,0.757,0.352
TRAAFKJ12903D02552,127.527,4.0,0.254,0.614,7.0,-7.642,0.0373,0.000534,2.53e-06,0.287,0.0865
TRAAFMS128F933AB23,112.224,4.0,0.552,0.66,7.0,-8.749,0.0277,0.00686,0.0092,0.602,0.0996
TRAAFON128F42926FB,79.233,3.0,0.255,0.0719,4.0,-25.302,0.0419,0.63,0.125,0.0398,0.145
TRAAFRU128F9339158,124.975,4.0,0.671,0.802,1.0,-6.947,0.0378,0.00503,0.0946,0.827,0.0879
TRAAFSM128F425A2C5,113.283,4.0,0.695,0.666,5.0,-10.989,0.0691,0.056,0.000936,0.362,0.0752
TRAAFYL128E07856A7,141.045,4.0,0.489,0.977,8.0,-4.809,0.128,0.000915,4.82e-05,0.425,0.0757
TRAAGEC128E079252C,125.93,4.0,0.655,0.348,0.0,-13.427,0.0347,0.147,0.776,0.0396,0.109
TRAAGGE128F9325E2C,144.928,4.0,0.335,0.796,9.0,-10.345,0.0555,0.147,0.515,0.688,0.344
TRAAGJV128F1464090,129.306,4.0,0.698,0.614,11.0,-8.885,0.0819,0.674,0.0,0.965,0.12
TRAAGKF128F932D5A2,132.049,4.0,0.57,0.943,0.0,-2.802,0.0687,0.00179,7.24e-06,0.813,0.296
TRAAGKQ128F92EAF39,183.701,4.0,0.481,0.916,1.0,-4.349,0.0449,0.0241,9.97e-05,0.853,0.057
TRAAGKS128F9314884,89.966,4.0,0.157,0.568,9.0,-11.065,0.0387,0.294,0.753,0.0465,0.405
TRAAGMJ12903CAD7D4,119.703,4.0,0.482,0.664,2.0,-9.322,0.0501,0.309,0.0,0.314,0.979
TRAAGNL128F4299BF1,137.419,4.0,0.655,0.686,9.0,-10.978,0.0368,0.105,0.0,0.666,0.139
TRAAGOH128F42593CE,82.035,3.0,0.62,0.3,5.0,-12.788,0.0257,0.732,0.000395,0.321,0.349
TRAAGPH128F4273C8D,75.449,4.0,0.267,0.437,9.0,-10.322,0.0365,0.704,0.0,0.25,0.942
TRAAGPJ128F428CD1B,115.43,4.0,0.571,0.52,2.0,-7.827,0.0278,0.0598,0.0827,0.503,0.0773
TRAAGUA128F93236E8,127.406,4.0,0.593,0.369,7.0,-13.157,0.0841,0.456,0.434,0.487,0.083
TRAAGVF128E0789785,113.618,4.0,0.506,0.902,9.0,-4.705,0.0458,0.000198,0.156,0.764,0.251
TRAAGVM128E0784D95,87.092,4.0,0.485,0.94,2.0,-5.674,0.0507,0.000145,0.0,0.714,0.175
TRAAGXN128F92DE52C,141.889,4.0,0.531,0.933,0.0,-4.56,0.0395,0.0369,0.00711,0.555,0.339
TRAAHEH128F427FCEF,133.977,4.0,0.732,0.633,4.0,-12.191,0.147,0.653,4.85e-05,0.948,0.664
TRAAHEQ128F93057B4,118.852,4.0,0.883,0.266,11.0,-12.603,0.0842,0.926,0.0,0.956,0.0607
TRAAHER128F92E3FE9,205.362,4.0,0.242,0.999,9.0,-1.457,0.559,0.325,0.0,0.0376,0.842
TRAAHJX128F9312B83,112.322,4.0,0.867,0.469,0.0,-14.75,0.0439,0.682,0.032,0.698,0.0913
TRAAHMO128F92DE7C9,84.629,4.0,0.602,0.207,4.0,-11.67,0.0393,0.892,1.82e-06,0.128,0.101
